# Renewables.ninja Weather (Point API) - 52.188, -2.028 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/London, temperature in ºC, precipitation in mm/h, snowfall in mm/h, snow_mass in kg/m², air_density in kg/m³, radiation_surface in W/m², radiation_toa in W/m², cloud_cover in fraction
# {"units": {"time": "UTC", "local_time": "Europe/London", "temperature": "\u00baC", "precipitation": "mm/h", "snowfall": "mm/h", "snow_mass": "kg/m\u00b2", "air_density": "kg/m\u00b3", "radiation_surface": "W/m\u00b2", "radiation_toa": "W/m\u00b2", "cloud_cover": "fraction"}, "params": {"local_time": true, "header": true, "lat": "52.18848473848998", "lon": "-2.027585537311248", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": true, "var_snomas": true, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,temperature,precipitation,snowfall,snow_mass,air_density,radiation_surface,radiation_toa,cloud_cover
2019-01-01 00:00,2019-01-01 00:00,6.289,0.012,0,0,1.265,0,0,0.767
2019-01-01 01:00,2019-01-01 01:00,6.222,0.008,0,0,1.265,0,0,0.690
2019-01-01 02:00,2019-01-01 02:00,6.012,0.005,0,0,1.266,0,0,0.714
2019-01-01 03:00,2019-01-01 03:00,6.161,0.004,0,0,1.265,0,0,0.765
2019-01-01 04:00,2019-01-01 04:00,6.418,0.005,0,0,1.265,0,0,0.751
2019-01-01 05:00,2019-01-01 05:00,6.416,0.007,0,0,1.265,0,0,0.839
2019-01-01 06:00,2019-01-01 06:00,6.841,0.009,0,0,1.264,0,0,0.885
2019-01-01 07:00,2019-01-01 07:00,7.094,0.008,0,0,1.264,0,0,0.893
2019-01-01 08:00,2019-01-01 08:00,7.215,0.007,0,0,1.263,3.863,34.950,0.829
2019-01-01 09:00,2019-01-01 09:00,7.648,0.006,0,0,1.263,35.552,174.993,0.696
2019-01-01 10:00,2019-01-01 10:00,8.308,0.004,0,0,1.261,91.003,284.683,0.539
2019-01-01 11:00,2019-01-01 11:00,8.996,0.002,0,0,1.259,145.502,345.235,0.353
2019-01-01 12:00,2019-01-01 12:00,9.417,0.002,0,0,1.257,176.363,352.648,0.287
2019-01-01 13:00,2019-01-01 13:00,9.267,0.003,0,0,1.257,140.706,306.355,0.329
2019-01-01 14:00,2019-01-01 14:00,8.527,0.008,0,0,1.260,84.269,209.443,0.266
2019-01-01 15:00,2019-01-01 15:00,6.688,0.002,0,0,1.264,25.038,69.351,0.243
2019-01-01 16:00,2019-01-01 16:00,4.784,0,0,0,1.269,0,0,0.101
2019-01-01 17:00,2019-01-01 17:00,3.597,0,0,0,1.275,0,0,0.022
2019-01-01 18:00,2019-01-01 18:00,2.606,0,0,0,1.280,0,0,0.004
2019-01-01 19:00,2019-01-01 19:00,1.880,0,0,0,1.285,0,0,0.113
2019-01-01 20:00,2019-01-01 20:00,1.790,0,0,0,1.288,0,0,0.312
2019-01-01 21:00,2019-01-01 21:00,1.894,0.001,0,0,1.293,0,0,0.528
2019-01-01 22:00,2019-01-01 22:00,1.824,0.002,0,0,1.297,0,0,0.633
2019-01-01 23:00,2019-01-01 23:00,1.334,0.002,0,0,1.300,0,0,0.577
2019-01-02 00:00,2019-01-02 00:00,0.597,0.001,0,0,1.303,0,0,0.544
2019-01-02 01:00,2019-01-02 01:00,-0.089,0.001,0,0,1.306,0,0,0.528
2019-01-02 02:00,2019-01-02 02:00,-0.460,0.002,0.001,0,1.309,0,0,0.548
2019-01-02 03:00,2019-01-02 03:00,-0.822,0.002,0.002,0,1.310,0,0,0.607
2019-01-02 04:00,2019-01-02 04:00,-1.049,0.003,0.002,0,1.312,0,0,0.707
2019-01-02 05:00,2019-01-02 05:00,-1.200,0.002,0.002,0,1.313,0,0,0.736
2019-01-02 06:00,2019-01-02 06:00,-1.395,0.002,0.002,0,1.314,0,0,0.738
2019-01-02 07:00,2019-01-02 07:00,-1.631,0.002,0.002,0,1.315,0,0,0.680
2019-01-02 08:00,2019-01-02 08:00,-1.711,0.002,0.002,0,1.316,11.488,36.080,0.570
2019-01-02 09:00,2019-01-02 09:00,-0.520,0,0,0,1.315,81.150,176.806,0.377
2019-01-02 10:00,2019-01-02 10:00,0.831,0,0,0,1.312,167.840,286.558,0.232
2019-01-02 11:00,2019-01-02 11:00,2.104,0,0,0,1.306,217.931,347.204,0.236
2019-01-02 12:00,2019-01-02 12:00,3.790,0.001,0,0,1.297,220.764,354.593,0.274
2019-01-02 13:00,2019-01-02 13:00,4.379,0.001,0,0,1.293,179.682,308.242,0.347
2019-01-02 14:00,2019-01-02 14:00,3.890,0.002,0,0,1.292,101.731,211.327,0.458
2019-01-02 15:00,2019-01-02 15:00,2.499,0.003,0,0,1.293,24.455,71.003,0.549
2019-01-02 16:00,2019-01-02 16:00,1.761,0.004,0,0,1.294,0,0,0.605
2019-01-02 17:00,2019-01-02 17:00,1.759,0.004,0,0,1.294,0,0,0.620
2019-01-02 18:00,2019-01-02 18:00,1.868,0.002,0,0,1.295,0,0,0.621
2019-01-02 19:00,2019-01-02 19:00,2.016,0.002,0,0,1.295,0,0,0.620
2019-01-02 20:00,2019-01-02 20:00,2.046,0.002,0,0,1.296,0,0,0.625
2019-01-02 21:00,2019-01-02 21:00,1.942,0.002,0,0,1.296,0,0,0.650
2019-01-02 22:00,2019-01-02 22:00,1.560,0.001,0,0,1.297,0,0,0.712
2019-01-02 23:00,2019-01-02 23:00,1.121,0.001,0,0,1.299,0,0,0.801
2019-01-03 00:00,2019-01-03 00:00,0.822,0.001,0,0,1.300,0,0,0.827
2019-01-03 01:00,2019-01-03 01:00,0.640,0.001,0,0,1.301,0,0,0.776
2019-01-03 02:00,2019-01-03 02:00,0.447,0.001,0,0,1.303,0,0,0.755
2019-01-03 03:00,2019-01-03 03:00,0.267,0.001,0,0,1.303,0,0,0.772
2019-01-03 04:00,2019-01-03 04:00,0.218,0.001,0,0,1.303,0,0,0.700
2019-01-03 05:00,2019-01-03 05:00,0.222,0.001,0,0,1.303,0,0,0.632
2019-01-03 06:00,2019-01-03 06:00,0.235,0.001,0,0,1.303,0,0,0.679
2019-01-03 07:00,2019-01-03 07:00,0.416,0.001,0,0,1.303,0,0,0.716
2019-01-03 08:00,2019-01-03 08:00,0.692,0.001,0,0,1.303,11.891,37.328,0.616
2019-01-03 09:00,2019-01-03 09:00,1.282,0,0,0,1.303,80.122,178.806,0.467
2019-01-03 10:00,2019-01-03 10:00,2.405,0,0,0,1.301,155.089,288.593,0.361
2019-01-03 11:00,2019-01-03 11:00,3.157,0.001,0,0,1.299,198.846,349.329,0.409
2019-01-03 12:00,2019-01-03 12:00,3.439,0.001,0,0,1.298,193.983,356.718,0.447
2019-01-03 13:00,2019-01-03 13:00,3.409,0.001,0,0,1.297,161.819,310.367,0.419
2019-01-03 14:00,2019-01-03 14:00,3.027,0,0,0,1.298,100.605,213.380,0.390
2019-01-03 15:00,2019-01-03 15:00,1.983,0,0,0,1.298,28.352,72.843,0.258
2019-01-03 16:00,2019-01-03 16:00,1.163,0,0,0,1.299,0,0,0.090
2019-01-03 17:00,2019-01-03 17:00,0.439,0,0,0,1.300,0,0,0.068
2019-01-03 18:00,2019-01-03 18:00,-0.150,0,0,0,1.302,0,0,0.027
2019-01-03 19:00,2019-01-03 19:00,-0.541,0,0,0,1.304,0,0,0.004
2019-01-03 20:00,2019-01-03 20:00,-0.797,0,0,0,1.305,0,0,0.003
2019-01-03 21:00,2019-01-03 21:00,-0.960,0,0,0,1.307,0,0,0.003
2019-01-03 22:00,2019-01-03 22:00,-1.402,0,0,0,1.308,0,0,0.002
2019-01-03 23:00,2019-01-03 23:00,-1.513,0,0,0,1.310,0,0,0.002
2019-01-04 00:00,2019-01-04 00:00,-1.495,0,0,0,1.311,0,0,0.004
2019-01-04 01:00,2019-01-04 01:00,-1.821,0.002,0.002,0.001,1.312,0,0,0.058
2019-01-04 02:00,2019-01-04 02:00,-2.036,0.002,0.002,0.002,1.314,0,0,0.211
2019-01-04 03:00,2019-01-04 03:00,-2.197,0.002,0.002,0.003,1.315,0,0,0.352
2019-01-04 04:00,2019-01-04 04:00,-2.242,0.002,0.002,0.004,1.316,0,0,0.419
2019-01-04 05:00,2019-01-04 05:00,-2.465,0.002,0.002,0.004,1.317,0,0,0.581
2019-01-04 06:00,2019-01-04 06:00,-2.641,0.001,0.001,0.004,1.317,0,0,0.759
2019-01-04 07:00,2019-01-04 07:00,-3.001,0.001,0.001,0.004,1.318,0,0,0.530
2019-01-04 08:00,2019-01-04 08:00,-3.219,0,0,0.004,1.319,15.106,38.724,0.746
2019-01-04 09:00,2019-01-04 09:00,-1.719,0,0,0.003,1.319,86.440,180.949,0.921
2019-01-04 10:00,2019-01-04 10:00,-0.727,0,0,0.003,1.317,144.435,290.843,0.944
2019-01-04 11:00,2019-01-04 11:00,0.476,0,0,0.003,1.311,179.407,351.591,0.944
2019-01-04 12:00,2019-01-04 12:00,1.504,0,0,0.003,1.305,189.356,359.023,0.946
2019-01-04 13:00,2019-01-04 13:00,1.699,0,0,0.003,1.303,154.800,312.617,0.946
2019-01-04 14:00,2019-01-04 14:00,0.955,0,0,0.003,1.302,103.205,215.595,0.950
2019-01-04 15:00,2019-01-04 15:00,-1.094,0,0,0.003,1.302,30.933,74.857,0.946
2019-01-04 16:00,2019-01-04 16:00,-2.372,0,0,0.003,1.303,0.001,0.004,0.811
2019-01-04 17:00,2019-01-04 17:00,-2.535,0,0,0.003,1.304,0,0,0.758
2019-01-04 18:00,2019-01-04 18:00,-2.545,0,0,0.003,1.305,0,0,0.748
2019-01-04 19:00,2019-01-04 19:00,-2.411,0,0,0.003,1.305,0,0,0.706
2019-01-04 20:00,2019-01-04 20:00,-2.063,0,0,0.003,1.305,0,0,0.623
2019-01-04 21:00,2019-01-04 21:00,-1.801,0,0,0.003,1.305,0,0,0.552
2019-01-04 22:00,2019-01-04 22:00,-1.715,0.001,0,0.003,1.305,0,0,0.519
2019-01-04 23:00,2019-01-04 23:00,-1.666,0.001,0,0.003,1.304,0,0,0.498
2019-01-05 00:00,2019-01-05 00:00,-1.566,0.001,0,0.003,1.304,0,0,0.513
2019-01-05 01:00,2019-01-05 01:00,-1.542,0.001,0.001,0.003,1.304,0,0,0.541
