# Renewables.ninja Wind (Point API) - 52.188, -2.028 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/London, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "52.18848473848998", "lon": "-2.027585537311248", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V90 2000", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 00:00,0.408,7.504
2019-01-01 01:00,2019-01-01 01:00,0.380,7.300
2019-01-01 02:00,2019-01-01 02:00,0.353,7.092
2019-01-01 03:00,2019-01-01 03:00,0.367,7.193
2019-01-01 04:00,2019-01-01 04:00,0.379,7.294
2019-01-01 05:00,2019-01-01 05:00,0.388,7.359
2019-01-01 06:00,2019-01-01 06:00,0.410,7.514
2019-01-01 07:00,2019-01-01 07:00,0.413,7.545
2019-01-01 08:00,2019-01-01 08:00,0.388,7.356
2019-01-01 09:00,2019-01-01 09:00,0.376,7.270
2019-01-01 10:00,2019-01-01 10:00,0.308,6.736
2019-01-01 11:00,2019-01-01 11:00,0.316,6.807
2019-01-01 12:00,2019-01-01 12:00,0.355,7.104
2019-01-01 13:00,2019-01-01 13:00,0.352,7.085
2019-01-01 14:00,2019-01-01 14:00,0.337,6.973
2019-01-01 15:00,2019-01-01 15:00,0.342,7.004
2019-01-01 16:00,2019-01-01 16:00,0.355,7.110
2019-01-01 17:00,2019-01-01 17:00,0.354,7.096
2019-01-01 18:00,2019-01-01 18:00,0.346,7.040
2019-01-01 19:00,2019-01-01 19:00,0.333,6.935
2019-01-01 20:00,2019-01-01 20:00,0.323,6.860
2019-01-01 21:00,2019-01-01 21:00,0.272,6.439
2019-01-01 22:00,2019-01-01 22:00,0.201,5.811
2019-01-01 23:00,2019-01-01 23:00,0.146,5.235
2019-01-02 00:00,2019-01-02 00:00,0.125,4.984
2019-01-02 01:00,2019-01-02 01:00,0.123,4.955
2019-01-02 02:00,2019-01-02 02:00,0.111,4.788
2019-01-02 03:00,2019-01-02 03:00,0.098,4.617
2019-01-02 04:00,2019-01-02 04:00,0.094,4.571
2019-01-02 05:00,2019-01-02 05:00,0.100,4.642
2019-01-02 06:00,2019-01-02 06:00,0.108,4.761
2019-01-02 07:00,2019-01-02 07:00,0.113,4.827
2019-01-02 08:00,2019-01-02 08:00,0.108,4.758
2019-01-02 09:00,2019-01-02 09:00,0.081,4.366
2019-01-02 10:00,2019-01-02 10:00,0.046,3.740
2019-01-02 11:00,2019-01-02 11:00,0.028,3.325
2019-01-02 12:00,2019-01-02 12:00,0.025,3.249
2019-01-02 13:00,2019-01-02 13:00,0.024,3.214
2019-01-02 14:00,2019-01-02 14:00,0.027,3.304
